,21652,21562,908,9
201,21329,21515,-2787,9
202,21015,21415,-8682,9
202,21652,21462,-854,9
203,21489,21467,-74,9
204,21817,21537,4963,9
204,20415,21312,-14512,9
205,21652,21380,-3021,9
206,21652,21434,1982,9
207,21015,21350,-5078,9
207,21329,21345,-2907,9
208,21489,21373,466,9
209,21329,21364,-426,9
209,20862,21263,-7694,9
210,21171,21244,-5186,9
211,20711,21137,-10224,9
212,21171,21143,-4716,9
212,21329,21180,319,9
213,21817,21307,9335,9
214,21489,21343,7276,9
214,21652,21404,8252,9
215,21329,21389,3066,9
216,21652,21441,5328,9
216,21817,21516,8354,9
217,21329,21478,1715,9
218,21329,21448,-1211,9
219,21489,21456,-27,9
219,21652,21495,2740,9
220,21652,21526,3603,9
221,21652,21551,3615,9
221,21015,21443,-6399,9
222,21171,21388,-6915,9
223,21329,21376,-4324,9
223,21015,21303,-7295,9
224,21171,21276,-5576,9
225,21489,21318,186,9
226,21329,21320,230,9
226,21652,21386,5122,9
227,21652,21439,6396,9
228,21329,21417,1601,9
228,21652,21464,4377,9
229,21489,21469,2548,9
230,21329,21441,-760,9
230,21489,21450,282,9
231,21329,21425,-1516,9
232,21652,21470,2428,9
233,21652,21506,3527,9
233,21489,21502,1465,9
234,21817,21565,5258,9
235,21652,21582,3862,9
235,21817,21629,5470,9
236,20711,21445,-10114,9
237,21817,21519,228,9
237,21652,21545,2092,9
238,21652,21566,2563,9
239,21652,21583,2542,9
239,21817,21629,4528,9
240,21652,21633,2553,9
241,21652,21636,1493,9
242,21652,21639,945,9
242,21985,21708,5715,9
243,21652,21696,1991,9
244,21652,21687,341,9
244,21489,21647,-2878,9
245,21652,21648,-1371,9
246,21652,21648,-685,9
246,21489,21616,-2599,9
247,21329,21558,-5436,9
248,21489,21544,-3634,9
249,21652,21565,-321,9
249,22155,21683,8619,9
250,21489,21644,1612,9
251,21817,21678,3284,9
251,21489,21640,-1219,9
252,21329,21577,-4537,9
253,21817,21625,816,9
254,20562,21412,-15299,9
254,21329,21395,-8916,9
255,21489,21413,-3228,9
256,21171,21364,-5124,9
256,21817,21454,3811,9
257,21329,21429,104,9
258,21652,21473,3090,9
258,21652,21508,4118,9
259,21489,21504,1770,9
260,21817,21566,5018,9
261,21489,21550,1335,9
261,21489,21537,-318,9
262,21489,21527,-824,9
263,21652,21552,1353,9
263,21817,21605,4306,9
264,21489,21581,418,9
265,21171,21499,-5088,9
266,20562,21311,-16167,9
266,21489,21346,-5494,9
267,21817,21440,3113,9
268,20862,21324,-6095,9
269,21489,21357,-720,9
269,21329,21351,-805,9
270,21489,21378,1434,9
271,21489,21400,2313,9
271,21652,21450,4779,9
272,21489,21457,2896,9
273,21652,21496,4294,9
274,21489,21494,2014,9
274,21489,21493,934,9
275,21817,21557,5071,9
276,21329,21511,-783,9
276,21652,21539,1698,9
277,20711,21373,-10552,9
278,21329,21364,-5918,9
278,21489,21389,-1200,9
279,21652,21441,3093,9
280,21489,21450,2168,9
281,20415,21243,-12340,9
281,21985,21391,4825,9
282,21652,21443,6028,9
283,20862,21326,-5526,9
283,21652,21391,1814,9
